movieId,title,genres,budget,runtime,release_year,avg_critic_score,director_id,is_sequel
91,Movie 91,Thriller|Sci-Fi|Comedy,194000000,136,1992,5.5,193,0
92,Movie 92,Documentary,59000000,103,2003,9.1,56,0
93,Movie 93,Children|Animation,25000000,125,2005,7.7,154,0
94,Movie 94,Animation|Horror|Drama,156000000,118,2024,2.4,490,0
95,Movie 95,Action,146000000,151,2017,7.7,148,0
96,Movie 96,Children|Documentary|Adventure,58000000,159,2024,4.3,430,0
97,Movie 97,Crime,25000000,114,2022,4.9,424,0
98,Movie 98,Sci-Fi|Thriller|Horror,89000000,151,1994,7.4,373,0
99,Movie 99,Crime,2000000,151,2011,6.0,176,1
100,Movie 100,Crime|Sci-Fi,21000000,118,1999,3.8,440,1
101,Movie 101,Crime|Drama|Documentary,111000000,86,1992,4.8,384,0
102,Movie 102,Fantasy,94000000,102,2002,3.3,120,0
103,Movie 103,Comedy|Animation|Drama,177000000,165,2018,9.4,313,0
104,Movie 104,Crime,99000000,131,2021,2.5,403,0
105,Movie 105,Drama|Sci-Fi,12000000,133,2021,2.7,183,0
106,Movie 106,Documentary|Sci-Fi|Comedy,6000000,109,2008,3.6,66,0
107,Movie 107,Animation,95000000,80,2007,9.2,285,1
108,Movie 108,Crime|Adventure|Sci-Fi,16000000,99,1995,8.1,411,0
109,Movie 109,Adventure|Crime,22000000,179,1997,6.6,283,0
110,Movie 110,Action|Comedy|Children,100000000,166,1998,9.6,305,1
111,Movie 111,Drama|Fantasy,161000000,105,1991,8.5,64,0
112,Movie 112,Thriller|Crime|Action,33000000,110,2020,4.1,99,1
113,Movie 113,Animation,137000000,91,1990,9.7,255,0
114,Movie 114,Thriller|Horror|Crime,42000000,131,2000,7.5,483,0
115,Movie 115,Action|Sci-Fi|Adventure,31000000,81,2002,7.1,403,0
116,Movie 116,Documentary,69000000,128,2018,6.4,70,0
117,Movie 117,Action|Horror,53000000,118,1997,3.3,255,0
118,Movie 118,Crime,84000000,147,2008,6.8,99,0
119,Movie 119,Horror,140000000,140,1994,4.9,374,1
120,Movie 120,Documentary|Children,29000000,174,2011,4.4,54,0
121,Movie 121,Drama|Thriller|Adventure,62000000,148,1992,9.7,216,0
122,Movie 122,Documentary|Crime|Thriller,71000000,147,1999,6.7,355,0
123,Movie 123,Drama|Action|Comedy,172000000,121,1995,4.8,463,1
124,Movie 124,Sci-Fi|Comedy|Adventure,39000000,142,2018,8.3,498,0
125,Movie 125,Crime|Thriller|Action,148000000,90,2023,4.4,132,0
126,Movie 126,Horror|Animation,187000000,160,2001,7.3,198,0
127,Movie 127,Animation|Adventure|Horror,180000000,101,2021,9.3,132,1
128,Movie 128,Comedy|Children,65000000,106,2007,5.0,9,1
129,Movie 129,Action,18000000,127,2005,2.9,356,1
130,Movie 130,Children|Drama,138000000,163,2022,7.3,398,0
131,Movie 131,Sci-Fi,79000000,84,2015,2.2,425,0
132,Movie 132,Action|Animation|Documentary,18000000,136,2007,9.3,152,0
133,Movie 133,Adventure|Drama|Crime,178000000,85,2008,3.3,12,0
134,Movie 134,Children|Crime|Animation,10000000,99,2006,9.0,53,0
135,Movie 135,Documentary|Fantasy,86000000,114,1996,9.5,364,0
136,Movie 136,Animation|Crime,120000000,97,2006,2.8,39,0
137,Movie 137,Action|Fantasy,114000000,170,2023,7.0,221,0
138,Movie 138,Children|Adventure,169000000,154,1998,5.4,130,0
139,Movie 139,Adventure|Children|Action,56000000,92,2014,4.8,143,0
140,Movie 140,Horror|Crime,2000000,165,1994,8.3,198,0
141,Movie 141,Comedy|Documentary,37000000,151,2018,6.0,253,0
142,Movie 142,Horror|Adventure,138000000,175,2012,4.7,256,1
143,Movie 143,Action,148000000,122,2013,3.8,111,0
144,Movie 144,Crime|Sci-Fi|Fantasy,34000000,139,2024,9.5,196,1
145,Movie 145,Children|Adventure|Comedy,114000000,148,2016,8.1,454,0
146,Movie 146,Crime|Sci-Fi,199000000,134,2016,5.6,423,1
147,Movie 147,Thriller|Horror|Sci-Fi,187000000,108,2024,8.3,464,0
148,Movie 148,Children|Crime,89000000,84,1993,8.9,488,0
149,Movie 149,Comedy|Sci-Fi,107000000,166,1990,4.9,305,0
150,Movie 150,Horror,60000000,80,1993,7.7,423,0
151,Movie 151,Documentary|Animation,164000000,173,1999,7.3,50,0
152,Movie 152,Action|Drama,124000000,174,2003,3.5,131,0
153,Movie 153,Fantasy|Crime,56000000,121,1991,7.6,173,0
154,Movie 154,Drama,15000000,175,1993,2.7,388,1
155,Movie 155,Comedy|Children,137000000,164,1993,2.2,361,0
156,Movie 156,Children|Adventure,39000000,88,1991,5.7,340,0
157,Movie 157,Adventure,4000000,127,2009,4.1,156,0
158,Movie 158,Fantasy,26000000,153,2009,3.2,412,0
159,Movie 159,Action,43000000,161,2001,9.6,15,0
160,Movie 160,Fantasy,110000000,176,2009,2.6,397,1
161,Movie 161,Comedy|Action,32000000,147,2023,7.5,217,0
162,Movie 162,Action|Animation|Crime,198000000,139,1997,2.2,267,1
163,Movie 163,Horror|Children,185000000,84,1994,3.7,367,0
164,Movie 164,Fantasy,44000000,83,2005,4.5,222,0
165,Movie 165,Adventure|Children,87000000,146,2024,7.3,270,0
166,Movie 166,Documentary|Thriller,193000000,179,2024,2.7,365,1
167,Movie 167,Thriller|Horror|Children,16000000,91,1997,9.3,49,0
168,Movie 168,Drama|Action,100000000,87,1991,8.4,403,0
169,Movie 169,Action|Thriller,16000000,85,1997,3.3,302,0
170,Movie 170,Action,50000000,89,2016,8.5,235,0
171,Movie 171,Adventure|Children|Horror,20000000,86,1994,6.1,332,0
172,Movie 172,Children|Crime,152000000,97,2016,3.8,333,1
173,Movie 173,Children|Documentary,9000000,97,1996,3.6,284,0
174,Movie 174,Animation,92000000,143,1992,8.6,168,1
175,Movie 175,Children|Documentary|Fantasy,149000000,165,2015,2.3,59,0
176,Movie 176,Animation,162000000,108,2011,3.6,345,0
177,Movie 177,Children|Thriller|Documentary,25000000,113,2024,2.9,8,1
178,Movie 178,Animation,121000000,81,1992,8.9,444,0
179,Movie 179,Fantasy|Animation|Documentary,136000000,152,2001,2.2,69,0
180,Movie 180,Fantasy|Action,19000000,149,1995,9.7,31,0
181,Movie 181,Action,113000000,159,1998,6.8,39,0
182,Movie 182,Documentary,117000000,122,2022,3.9,282,0
183,Movie 183,Thriller,192000000,91,2007,3.2,266,0
184,Movie 184,Action|Comedy|Animation,19000000,87,2000,8.5,131,0
185,Movie 185,Children,114000000,105,2011,2.8,391,1
186,Movie 186,Drama|Fantasy,70000000,143,2020,8.9,486,0
187,Movie 187,Sci-Fi,88000000,93,2022,8.2,377,0
188,Movie 188,Adventure,50000000,160,2018,5.9,40,0
189,Movie 189,Adventure|Action,117000000,107,2003,9.7,230,0
190,Movie 190,Comedy|Children,197000000,125,2017,2.0,434,0
191,Movie 191,Action|Drama,23000000,177,2018,4.1,29,0
192,Movie 192,Animation,59000000,133,1995,9.3,208,0
193,Movie 193,Documentary|Animation,88000000,167,2021,2.0,358,1
194,Movie 194,Drama|Documentary,193000000,139,1994,3.8,145,0
195,Movie 195,Horror|Adventure|Crime,159000000,130,2021,5.5,361,0
196,Movie 196,Action|Adventure,96000000,135,1998,8.7,328,0
197,Movie 197,Crime|Documentary|Fantasy,129000000,144,1999,4.3,4,0
198,Movie 198,Children|Sci-Fi,148000000,127,1993,7.5,322,0
199,Movie 199,Crime,146000000,168,2001,6.7,466,0
200,Movie 200,Children,127000000,176,1995,7.3,192,0
201,Movie 201,Drama|Adventure,59000000,97,2005,5.9,149,1
202,Movie 202,Animation|Documentary,175000000,101,2016,8.8,134,0
203,Movie 203,Comedy,7000000,153,2009,6.1,36,0
204,Movie 204,Horror|Children,152000000,149,2022,10.0,91,0
205,Movie 205,Horror|Adventure,126000000,153,2019,8.8,355,0
206,Movie 206,Animation,193000000,105,1997,8.8,113,0
207,Movie 207,Adventure|Sci-Fi,170000000,93,1997,4.4,490,0
208,Movie 208,Sci-Fi|Children,179000000,169,2018,8.1,224,1
209,Movie 209,Animation,152000000,140,2015,4.1,82,0
210,Movie 210,Sci-Fi|Drama|Fantasy,99000000,131,2002,9.7,254,1
211,Movie 211,Thriller|Documentary,72000000,130,2021,7.5,349,0
212,Movie 212,Drama|Children|Fantasy,64000000,177,2010,2.8,336,1
213,Movie 213,Crime|Children|Drama,5000000,128,2018,6.3,377,0
214,Movie 214,Sci-Fi|Fantasy,56000000,142,1991,5.9,79,0
215,Movie 215,Thriller,67000000,123,1998,9.5,240,0
216,Movie 216,Children|Horror|Thriller,38000000,93,2003,6.8,255,0
217,Movie 217,Action,117000000,95,2016,2.8,280,0
218,Movie 218,Children|Action|Comedy,1000000,145,2012,7.5,84,0
219,Movie 219,Fantasy|Horror|Thriller,101000000,176,2001,8.1,161,0
220,Movie 220,Fantasy,170000000,85,2006,2.8,447,0
221,Movie 221,Adventure|Animation|Documentary,88000000,96,1992,3.6,453,0
222,Movie 222,Horror|Adventure|Children,74000000,126,2002,5.4,391,0
223,Movie 223,Documentary|Animation,83000000,115,1992,9.9,99,1
224,Movie 224,Adventure,54000000,107,1993,5.5,372,0
225,Movie 225,Comedy|Children,69000000,179,2017,7.6,300,1
226,Movie 226,Crime|Horror|Sci-Fi,50000000,97,2018,9.4,358,0
227,Movie 227,Horror|Children,31000000,105,2017,9.4,361,0
228,Movie 228,Comedy|Horror|Crime,188000000,158,2016,8.6,27,0
229,Movie 229,Crime|Thriller,19000000,176,2019,8.1,153,0
230,Movie 230,Children|Crime,78000000,150,1997,7.2,88,0
231,Movie 231,Action|Animation,157000000,157,2012,4.0,294,1
232,Movie 232,Comedy,9000000,140,2001,4.1,366,0
233,Movie 233,Horror|Fantasy|Comedy,82000000,97,2018,9.5,412,0
234,Movie 234,Adventure|Documentary,143000000,143,2013,9.8,79,1
235,Movie 235,Action|Adventure,96000000,113,2017,2.3,99,1
236,Movie 236,Children,4000000,159,2002,3.6,47,0
237,Movie 237,Adventure|Sci-Fi,103000000,92,1999,5.5,122,0
238,Movie 238,Sci-Fi|Crime|Horror,57000000,164,2015,3.3,345,0
239,Movie 239,Documentary|Drama|Animation,58000000,119,2013,9.9,252,0
240,Movie 240,Crime|Children|Action,195000000,105,2013,6.7,285,0
241,Movie 241,Sci-Fi,64000000,125,2008,9.2,245,0
242,Movie 242,Documentary,42000000,120,2015,4.0,216,1
243,Movie 243,Sci-Fi|Action,165000000,130,2010,3.6,104,0
244,Movie 244,Fantasy|Documentary|Crime,83000000,90,1992,8.3,197,1
245,Movie 245,Drama|Animation|Documentary,198000000,118,2022,2.9,315,0
246,Movie 246,Documentary,111000000,108,2018,5.3,232,0
247,Movie 247,Sci-Fi,39000000,132,1994,3.6,58,0
248,Movie 248,Fantasy|Sci-Fi|Drama,80000000,125,2001,9.4,128,0
249,Movie 249,Horror|Fantasy|Comedy,106000000,121,2001,3.5,373,0
250,Movie 250,Action|Comedy,131000000,156,2008,3.8,307,0
251,Movie 251,Horror|Adventure|Action,36000000,170,2022,4.5,376,0
252,Movie 252,Action|Adventure|Children,170000000,144,1991,7.2,359,0
253,Movie 253,Sci-Fi|Animation,79000000,106,2005,9.4,324,1
254,Movie 254,Documentary|Sci-Fi,193000000,111,2005,6.8,239,0
255,Movie 255,Comedy|Animation|Documentary,28000000,112,2002,3.9,217,0
256,Movie 256,Thriller|Action,133000000,174,2009,3.3,331,0
257,Movie 257,Documentary|Thriller,70000000,159,1990,4.5,292,0
258,Movie 258,Fantasy|Action|Children,51000000,98,2000,2.4,296,1
259,Movie 259,Animation|Comedy|Horror,130000000,129,1997,2.6,260,0
260,Movie 260,Documentary,132000000,146,2019,7.5,351,1
261,Movie 261,Horror|Thriller,76000000,122,2000,4.6,493,1
262,Movie 262,Fantasy|Animation|Horror,160000000,148,2000,5.4,339,0
263,Movie 263,Thriller,58000000,169,1992,8.5,360,0
264,Movie 264,Action|Horror|Children,4000000,83,2004,9.1,191,1
265,Movie 265,Crime,38000000,150,2003,6.4,256,1
266,Movie 266,Adventure|Action|Animation,57000000,165,2001,5.8,343,0
267,Movie 267,Thriller,1000000,139,2008,3.2,176,0
268,Movie 268,Drama,25000000,83,2020,7.4,26,0
269,Movie 269,Children,186000000,111,2010,6.4,43,0
270,Movie 270,Action|Adventure|Thriller,107000000,134,2015,9.3,15,0
271,Movie 271,Fantasy|Horror|Crime,10000000,173,2016,6.1,177,0
272,Movie 272,Fantasy,95000000,123,2014,6.0,286,0
273,Movie 273,Fantasy|Comedy,121000000,176,2014,6.1,37,1
274,Movie 274,Fantasy|Drama|Thriller,83000000,148,2006,6.9,221,0
275,Movie 275,Action,14000000,177,1990,5.4,82,0
276,Movie 276,Comedy|Adventure|Drama,156000000,153,1990,6.2,303,0
277,Movie 277,Horror|Adventure|Children,38000000,131,2017,6.7,418,0
278,Movie 278,Action|Animation|Horror,183000000,178,2012,8.5,177,0
279,Movie 279,Children,172000000,125,2005,7.3,227,0
280,Movie 280,Adventure,199000000,176,2006,9.6,71,0
281,Movie 281,Thriller,113000000,155,2003,7.6,24,1
282,Movie 282,Action|Children|Thriller,17000000,128,1992,7.8,380,0
283,Movie 283,Adventure|Documentary|Comedy,113000000,110,1998,5.2,147,1
284,Movie 284,Fantasy,178000000,81,2020,5.6,141,0
285,Movie 285,Sci-Fi|Documentary,89000000,110,2020,4.3,265,0
286,Movie 286,Animation,115000000,147,2011,5.9,81,0
287,Movie 287,Action,123000000,159,2010,6.7,96,0
288,Movie 288,Action,33000000,82,1991,7.1,98,0
289,Movie 289,Comedy|Children|Crime,128000000,178,1997,9.5,332,0
290,Movie 290,Horror|Documentary|Crime,59000000,166,1994,5.2,175,0
291,Movie 291,Horror|Children,9000000,158,2022,7.1,137,0
292,Movie 292,Animation|Crime,102000000,162,2015,2.5,84,0
293,Movie 293,Fantasy|Documentary,167000000,144,2000,7.1,84,0
294,Movie 294,Thriller,9000000,154,2006,6.0,410,0
295,Movie 295,Adventure|Comedy|Animation,63000000,176,2002,3.9,86,0
296,Movie 296,Adventure|Animation,34000000,137,1994,3.1,242,0
297,Movie 297,Documentary,111000000,146,2018,7.8,244,1
298,Movie 298,Adventure,109000000,176,1994,10.0,286,0
299,Movie 299,Thriller,175000000,97,2015,5.6,17,0
300,Movie 300,Drama|Children|Adventure,95000000,176,2004,4.6,90,0
301,Movie 301,Documentary|Crime,83000000,98,2024,6.3,219,0
302,Movie 302,Animation,130000000,132,2016,9.4,322,0
303,Movie 303,Adventure,182000000,89,1998,2.9,104,0
304,Movie 304,Adventure,145000000,154,2010,3.6,116,0
305,Movie 305,Animation|Comedy|Adventure,143000000,137,2016,6.4,293,0
306,Movie 306,Crime,195000000,127,2017,8.4,99,1
307,Movie 307,Horror|Sci-Fi|Adventure,135000000,133,1998,5.5,337,0
308,Movie 308,Adventure,60000000,175,1995,4.5,366,1
309,Movie 309,Horror|Children|Comedy,118000000,159,1998,3.7,384,0
310,Movie 310,Drama|Sci-Fi|Adventure,16000000,109,2006,9.8,129,0
311,Movie 311,Action|Crime|Thriller,175000000,132,2012,5.8,424,0
312,Movie 312,Children,146000000,135,2016,6.8,178,0
313,Movie 313,Children|Fantasy,99000000,85,2015,4.5,28,0
314,Movie 314,Crime|Horror|Documentary,37000000,150,1997,2.3,390,0
315,Movie 315,Horror,64000000,154,2014,7.5,84,0
316,Movie 316,Comedy|Animation,66000000,161,2000,2.8,275,0
317,Movie 317,Sci-Fi|Documentary,28000000,178,2012,9.0,359,0
318,Movie 318,Sci-Fi|Children,133000000,104,2008,8.2,289,0
319,Movie 319,Sci-Fi|Documentary|Crime,143000000,135,2004,6.1,12,0
320,Movie 320,Horror|Animation,42000000,98,1994,4.9,473,0
321,Movie 321,Action|Crime|Fantasy,3000000,82,2004,6.3,24,0
322,Movie 322,Animation|Horror,80000000,91,2002,3.4,493,0
323,Movie 323,Drama,186000000,84,1999,7.4,286,0
324,Movie 324,Thriller|Horror|Action,179000000,114,2024,8.5,144,0
325,Movie 325,Sci-Fi|Children|Animation,76000000,91,2023,6.6,302,0
326,Movie 326,Sci-Fi|Horror|Thriller,45000000,105,2017,9.8,219,0
327,Movie 327,Animation,38000000,178,2019,3.0,417,1
328,Movie 328,Sci-Fi,83000000,117,2010,3.0,65,0
329,Movie 329,Comedy|Thriller|Animation,137000000,166,2012,8.1,25,1
330,Movie 330,Horror|Fantasy|Thriller,107000000,120,1997,3.8,113,1
331,Movie 331,Thriller|Crime,86000000,109,2009,6.4,81,0
332,Movie 332,Fantasy,122000000,82,2014,7.8,111,0
333,Movie 333,Fantasy|Thriller|Crime,165000000,85,2019,5.9,319,0
334,Movie 334,Comedy,161000000,140,2006,8.4,228,0
335,Movie 335,Thriller,12000000,172,2021,7.1,200,1
336,Movie 336,Sci-Fi|Comedy|Horror,140000000,152,1994,7.9,307,1
337,Movie 337,Documentary|Animation,155000000,142,2011,9.6,339,0
338,Movie 338,Drama|Fantasy,156000000,156,2004,5.9,350,0
339,Movie 339,Comedy,173000000,157,2021,7.0,316,0
340,Movie 340,Fantasy|Sci-Fi,131000000,140,2004,9.7,299,0
341,Movie 341,Thriller,121000000,155,2003,8.1,180,0
342,Movie 342,Action|Animation|Horror,124000000,114,1996,9.4,97,1
343,Movie 343,Documentary|Adventure,44000000,123,1996,3.0,460,0
344,Movie 344,Children,122000000,145,1998,5.2,436,0
345,Movie 345,Fantasy,83000000,83,2020,6.7,89,0
346,Movie 346,Action,133000000,113,2005,3.3,417,0
347,Movie 347,Crime,97000000,161,2017,7.3,220,0
348,Movie 348,Crime,139000000,148,2016,4.1,318,1
349,Movie 349,Drama,13000000,141,1992,8.3,161,0
350,Movie 350,Drama|Action|Documentary,86000000,104,1999,3.8,235,0
351,Movie 351,Comedy|Action,30000000,90,1998,3.4,163,0
352,Movie 352,Animation,162000000,113,1994,8.4,476,0
353,Movie 353,Comedy,82000000,168,2014,7.2,238,0
354,Movie 354,Action|Thriller,184000000,152,2016,6.6,339,0
355,Movie 355,Thriller|Animation|Children,15000000,96,2023,3.4,9,0
356,Movie 356,Crime|Adventure,130000000,173,1998,9.7,432,0
357,Movie 357,Horror,175000000,112,2002,3.9,293,0
358,Movie 358,Sci-Fi,127000000,161,2024,9.3,308,0
359,Movie 359,Children|Fantasy|Sci-Fi,62000000,100,2021,6.2,70,0
360,Movie 360,Sci-Fi|Action,107000000,159,2016,9.3,357,0
361,Movie 361,Adventure,180000000,178,1998,3.0,303,0
362,Movie 362,Drama,89000000,130,1993,7.6,238,0
363,Movie 363,Crime|Animation,54000000,83,2016,2.9,218,0
364,Movie 364,Documentary|Action|Fantasy,36000000,175,2001,5.0,12,0
365,Movie 365,Adventure,44000000,116,1998,9.7,332,0
366,Movie 366,Drama|Fantasy,90000000,92,2006,5.1,405,0
367,Movie 367,Animation|Fantasy|Adventure,160000000,96,2007,4.2,360,0
368,Movie 368,Fantasy,15000000,117,2004,4.8,418,0
369,Movie 369,Drama|Crime,141000000,96,2019,4.6,118,0
370,Movie 370,Comedy,48000000,93,1996,5.1,253,0
371,Movie 371,Animation|Horror|Fantasy,165000000,106,2014,6.0,303,0
372,Movie 372,Crime|Fantasy,191000000,87,1992,2.9,194,0
373,Movie 373,Thriller|Action|Fantasy,128000000,163,2014,9.5,194,0
374,Movie 374,Documentary,158000000,164,1995,2.4,198,0
375,Movie 375,Drama,166000000,177,2017,7.9,371,1
376,Movie 376,Fantasy|Children,176000000,133,2012,9.9,225,0
377,Movie 377,Fantasy|Thriller,88000000,106,2024,8.5,198,0
378,Movie 378,Adventure|Horror|Crime,177000000,114,2018,4.2,291,0
379,Movie 379,Drama|Action|Thriller,178000000,170,2013,9.9,428,0
380,Movie 380,Fantasy|Adventure,32000000,167,1991,2.3,43,0
381,Movie 381,Adventure|Animation|Action,121000000,114,2020,2.6,447,0
382,Movie 382,Action|Horror|Animation,30000000,118,2019,4.6,24,1
383,Movie 383,Drama|Action|Fantasy,142000000,111,2021,6.2,249,1
384,Movie 384,Action,161000000,171,1992,8.7,451,1
385,Movie 385,Children|Adventure|Crime,36000000,111,2016,8.1,466,0
386,Movie 386,Comedy|Animation|Documentary,33000000,174,2008,8.6,23,0
387,Movie 387,Crime,141000000,103,2002,5.8,262,0
388,Movie 388,Sci-Fi|Comedy|Fantasy,172000000,121,2005,7.7,382,0
389,Movie 389,Horror,73000000,156,2017,8.5,210,0
390,Movie 390,Adventure,167000000,128,1991,4.5,411,1
391,Movie 391,Documentary|Action|Horror,134000000,95,1998,9.6,403,0
392,Movie 392,Thriller|Drama|Animation,44000000,131,1991,3.9,441,0
393,Movie 393,Animation|Action,173000000,165,2000,2.1,182,1
394,Movie 394,Documentary|Drama|Adventure,101000000,84,2012,4.8,205,0
395,Movie 395,Adventure|Animation|Comedy,123000000,86,2019,3.2,303,0
396,Movie 396,Horror|Comedy|Documentary,192000000,176,2014,6.9,80,0
397,Movie 397,Adventure,72000000,161,1995,5.0,278,0
398,Movie 398,Action|Sci-Fi|Comedy,102000000,153,2018,8.0,12,0
399,Movie 399,Adventure|Sci-Fi,93000000,105,2002,9.9,166,0
400,Movie 400,Fantasy|Thriller,90000000,164,2010,4.2,193,0
401,Movie 401,Thriller|Action|Documentary,79000000,174,2012,6.0,379,0
402,Movie 402,Action,86000000,132,2007,7.3,20,1
403,Movie 403,Documentary,149000000,83,2001,4.7,119,1
404,Movie 404,Children,194000000,136,2007,7.2,431,0
405,Movie 405,Action|Animation|Thriller,184000000,119,2000,3.5,98,0
406,Movie 406,Crime,192000000,82,2013,7.1,264,0
407,Movie 407,Horror|Drama|Children,132000000,177,2023,5.0,47,0
408,Movie 408,Documentary|Horror,7000000,109,2023,4.9,202,0
409,Movie 409,Comedy,135000000,154,2017,9.0,411,0
